## RECSRecommendations Upload File,,,,,,,,,,,,,,,,,,,
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.,,,,,,,,,,,,,,,,,,,
## RECS,,,,,,,,,,,,,,,,,,,
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.,,,,,,,,,,,,,,,,,,,
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.,,,,,,,,,,,,,,,,,,,
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.,,,,,,,,,,,,,,,,,,,
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.subCategory,entity.season,entity.custom3,entity.custom4,entity.custom5,entity.custom6,entity.custom7,entity.custom8,entity.custom9,entity.custom10,...
Wagtest_1,ABCD mositurizer,beauty,,,125,,,,Face moisturizer,summer,,,,,,,,,
Wagtest_2,WXYZ moisturizer,beauty,,,225,,,,Face moisturizer,winter,,,,,,,,,
Wagtest_3,ABCD sunscreen lotion,beauty,,,345,,,,Face sunscreen,summer,,,,,,,,,
Wagtest_4,ABCD antispetic,Personal care,,,54,,,,antispetic,winter,,,,,,,,,
Wagtest_5,ABCD Detergent,Essentials,,,256,,,,Detergent,summer,,,,,,,,,
Wagtest_6,PQRS Detergent,Essentials,,,342,,,,Detergent,winter,,,,,,,,,
Wagtest_7,WXYZ sunscreen lotion,beauty,,,78,,,,Face sunscreen,summer,,,,,,,,,
Wagtest_8,WXYZ antiseptic,Personal care,,,62,,,,antiseptic,winter,,,,,,,,,
Wagtest_9,LMNO moisturizer,beauty,,,56,,,,Face moisturizer,summer,,,,,,,,,
Wagtest_10,WXYZ Detergent,Essentials,,,78,,,,Detergent,winter,,,,,,,,,
Wagtest_11,PQRS sunscreen lotion,beauty,,,96,,,,Face sunscreen,summer,,,,,,,,,
Wagtest_12,LMNO Detergent,Essentials,,,94,,,,Detergent,winter,,,,,,,,,
Wagtest_13,PQRS antiseptic,Personal care,,,98,,,,antiseptic,summer,,,,,,,,,
Wagtest_14,PQRS mositurizer,beauty,,,85,,,,Face moisturizer,winter,,,,,,,,,
Wagtest_15,LMNO sunscreen lotion,beauty,,,178,,,,Face sunscreen,summer,,,,,,,,,
